nazov,date,daily_pocet_do,daily_pocet_z,daily_total,zemepisna_sirka,zemepisna_dlzka,smer_do,smer_z,weekday,is_weekend,month,year
#1 - Starý Most,2025-04-08,379,55,434,48.110442,17.127512,Centrum,Petržalka,1,0,4,2025
#1 - Starý Most,2025-04-09,479,83,562,48.110442,17.127512,Centrum,Petržalka,2,0,4,2025
#1 - Starý Most,2025-04-10,445,78,523,48.110442,17.127512,Centrum,Petržalka,3,0,4,2025
#1 - Starý Most,2025-04-11,408,74,482,48.110442,17.127512,Centrum,Petržalka,4,0,4,2025
#1 - Starý Most,2025-04-12,761,77,838,48.110442,17.127512,Centrum,Petržalka,5,1,4,2025
#1 - Starý Most,2025-04-13,804,82,886,48.110442,17.127512,Centrum,Petržalka,6,1,4,2025
#1 - Starý Most,2025-04-14,796,90,886,48.110442,17.127512,Centrum,Petržalka,0,0,4,2025
#1 - Starý Most,2025-04-15,287,61,348,48.110442,17.127512,Centrum,Petržalka,1,0,4,2025
#1 - Starý Most,2025-04-16,792,99,891,48.110442,17.127512,Centrum,Petržalka,2,0,4,2025
#1 - Starý Most,2025-04-17,660,96,756,48.110442,17.127512,Centrum,Petržalka,3,0,4,2025
#1 - Starý Most,2025-04-19,567,66,633,48.110442,17.127512,Centrum,Petržalka,5,1,4,2025
#1 - Starý Most,2025-04-21,1046,77,1123,48.110442,17.127512,Centrum,Petržalka,0,0,4,2025
#1 - Starý Most,2025-04-22,910,95,1005,48.110442,17.127512,Centrum,Petržalka,1,0,4,2025
#1 - Starý Most,2025-04-23,1017,81,1098,48.110442,17.127512,Centrum,Petržalka,2,0,4,2025
#1 - Starý Most,2025-04-24,682,73,755,48.110442,17.127512,Centrum,Petržalka,3,0,4,2025
#1 - Starý Most,2025-04-25,224,35,259,48.110442,17.127512,Centrum,Petržalka,4,0,4,2025
#1 - Starý Most,2025-04-26,428,48,476,48.110442,17.127512,Centrum,Petržalka,5,1,4,2025
#1 - Starý Most,2025-04-27,756,56,812,48.110442,17.127512,Centrum,Petržalka,6,1,4,2025
#1 - Starý Most,2025-04-28,741,81,822,48.110442,17.127512,Centrum,Petržalka,0,0,4,2025
#1 - Starý Most,2025-04-29,1016,96,1112,48.110442,17.127512,Centrum,Petržalka,1,0,4,2025
#1 - Starý Most,2025-04-30,923,113,1036,48.110442,17.127512,Centrum,Petržalka,2,0,4,2025
#1 - Starý Most,2025-05-01,1270,87,1357,48.110442,17.127512,Centrum,Petržalka,3,0,5,2025
#1 - Starý Most,2025-05-02,762,74,836,48.110442,17.127512,Centrum,Petržalka,4,0,5,2025
#1 - Starý Most,2025-05-03,1063,49,1112,48.110442,17.127512,Centrum,Petržalka,5,1,5,2025
#1 - Starý Most,2025-05-04,310,23,333,48.110442,17.127512,Centrum,Petržalka,6,1,5,2025
#1 - Starý Most,2025-05-05,218,30,248,48.110442,17.127512,Centrum,Petržalka,0,0,5,2025
#1 - Starý Most,2025-05-06,299,28,327,48.110442,17.127512,Centrum,Petržalka,1,0,5,2025
#1 - Starý Most,2025-05-07,649,58,707,48.110442,17.127512,Centrum,Petržalka,2,0,5,2025
#1 - Starý Most,2025-05-08,787,45,832,48.110442,17.127512,Centrum,Petržalka,3,0,5,2025
#1 - Starý Most,2025-05-09,519,47,566,48.110442,17.127512,Centrum,Petržalka,4,0,5,2025
#1 - Starý Most,2025-05-10,780,56,836,48.110442,17.127512,Centrum,Petržalka,5,1,5,2025
#1 - Starý Most,2025-05-11,629,62,691,48.110442,17.127512,Centrum,Petržalka,6,1,5,2025
#1 - Starý Most,2025-05-12,715,64,779,48.110442,17.127512,Centrum,Petržalka,0,0,5,2025
#1 - Starý Most,2025-05-13,942,81,1023,48.110442,17.127512,Centrum,Petržalka,1,0,5,2025
